,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,DURATION
51,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,0 days 00:19:19.571428571
52,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Raleigh,Cary,15.7,Meeting,0 days 00:19:19.571428571
53,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Cary,4.6,Customer Visit,0 days 00:19:19.571428571
54,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Cary,5.2,Meeting,0 days 00:19:19.571428571
55,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Durham,10.4,Meeting,0 days 00:19:19.571428571
56,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Durham,Cary,10.1,Meeting,0 days 00:19:19.571428571
57,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Apex,5.8,Errand/Supplies,0 days 00:19:19.571428571
58,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Apex,Cary,5.5,Meal/Entertain,0 days 00:19:19.571428571
59,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Apex,5.7,Errand/Supplies,0 days 00:19:19.571428571
60,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Apex,Cary,5.7,Customer Visit,0 days 00:19:19.571428571
61,2016-02-01 10:35:00,2016-02-01 11:15:00,Business,Cary,Chapel Hill,19.4,Customer Visit,0 days 00:40:00
62,2016-02-01 12:10:00,2016-02-01 12:43:00,Business,Chapel Hill,Cary,23.3,Customer Visit,0 days 00:33:00
63,2016-02-01 12:56:00,2016-02-01 13:07:00,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,0 days 00:11:00
64,2016-02-02 13:04:00,2016-02-02 13:23:00,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,0 days 00:19:00
65,2016-02-02 13:51:00,2016-02-02 14:06:00,Business,Cary,Cary,6.0,Errand/Supplies,0 days 00:15:00
66,2016-02-02 14:38:00,2016-02-02 14:42:00,Business,Cary,Cary,1.6,Errand/Supplies,0 days 00:04:00
67,2016-02-04 08:40:00,2016-02-04 09:01:00,Business,Cary,Morrisville,5.2,Errand/Supplies,0 days 00:21:00
68,2016-02-04 09:37:00,2016-02-04 10:09:00,Business,Morrisville,Cary,9.7,Meal/Entertain,0 days 00:32:00
69,2016-02-04 10:26:00,2016-02-04 10:32:00,Business,Cary,Cary,1.6,Meal/Entertain,0 days 00:06:00
70,2016-02-04 15:59:00,2016-02-04 16:03:00,Business,Cary,Cary,1.1,Meal/Entertain,0 days 00:04:00
71,2016-02-04 16:35:00,2016-02-04 16:39:00,Business,Cary,Cary,1.6,Meal/Entertain,0 days 00:04:00
72,2016-02-04 18:04:00,2016-02-04 18:31:00,Business,Whitebridge,Macgregor Downs,9.0,Meeting,0 days 00:27:00
73,2016-02-04 20:36:00,2016-02-04 20:55:00,Business,Cary,Cary,7.7,Meeting,0 days 00:19:00
74,2016-02-05 11:47:00,2016-02-05 12:07:00,Business,Cary,Durham,10.4,Meeting,0 days 00:20:00
75,2016-02-05 13:22:00,2016-02-05 13:41:00,Business,Durham,Cary,10.4,Meeting,0 days 00:19:00
76,2016-02-06 16:20:00,2016-02-06 16:53:00,Business,Cary,Raleigh,11.4,Between Offices,0 days 00:33:00
77,2016-02-06 18:57:00,2016-02-06 19:21:00,Business,Raleigh,Cary,9.0,Errand/Supplies,0 days 00:24:00
78,2016-02-06 19:28:00,2016-02-06 19:37:00,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,0 days 00:09:00
79,2016-02-07 16:49:00,2016-02-07 17:01:00,Business,Cary,Apex,5.6,Errand/Supplies,0 days 00:12:00
80,2016-02-07 18:03:00,2016-02-07 18:17:00,Business,Apex,Cary,5.7,Customer Visit,0 days 00:14:00
81,2016-02-07 18:39:00,2016-02-07 18:53:00,Business,Cary,Morrisville,6.1,Temporary Site,0 days 00:14:00
82,2016-02-07 20:22:00,2016-02-07 20:40:00,Business,Morrisville,Cary,6.1,Meeting,0 days 00:18:00
83,2016-02-08 12:57:00,2016-02-08 13:08:00,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,0 days 00:11:00
84,2016-02-08 14:00:00,2016-02-08 14:10:00,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,0 days 00:10:00
85,2016-02-09 10:54:00,2016-02-09 11:07:00,Personal,Whitebridge,Northwoods,5.3,Missing_val,0 days 00:13:00
86,2016-02-09 11:43:00,2016-02-09 11:50:00,Personal,Northwoods,Tanglewood,3.0,Missing_val,0 days 00:07:00
87,2016-02-09 13:36:00,2016-02-09 13:52:00,Personal,Tanglewood,Preston,5.1,Missing_val,0 days 00:16:00
88,2016-02-09 13:58:00,2016-02-09 14:02:00,Personal,Preston,Whitebridge,1.5,Missing_val,0 days 00:04:00
89,2016-02-09 18:55:00,2016-02-09 19:11:00,Business,Cary,Morrisville,6.1,Missing_val,0 days 00:16:00
90,2016-02-09 20:24:00,2016-02-09 20:40:00,Business,Morrisville,Cary,6.1,Meal/Entertain,0 days 00:16:00
91,2016-02-11 16:28:00,2016-02-11 17:10:00,Business,Cary,Raleigh,17.3,Meal/Entertain,0 days 00:42:00
92,2016-02-11 17:49:00,2016-02-11 18:10:00,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,0 days 00:21:00
93,2016-02-11 18:24:00,2016-02-11 18:46:00,Business,Raleigh,Morrisville,13.5,Temporary Site,0 days 00:22:00
94,2016-02-11 20:36:00,2016-02-11 20:51:00,Business,Morrisville,Cary,6.1,Temporary Site,0 days 00:15:00
95,2016-02-12 08:21:00,2016-02-12 08:42:00,Business,Cary,Durham,8.5,Temporary Site,0 days 00:21:00
96,2016-02-12 10:45:00,2016-02-12 10:52:00,Business,Durham,Morrisville,2.6,Temporary Site,0 days 00:07:00
97,2016-02-12 11:14:00,2016-02-12 11:35:00,Business,Morrisville,Raleigh,17.0,Customer Visit,0 days 00:21:00
98,2016-02-12 13:02:00,2016-02-12 13:36:00,Business,Raleigh,Cary,18.0,Meeting,0 days 00:34:00
99,2016-02-12 14:49:00,2016-02-12 15:06:00,Business,Cary,Morrisville,8.4,Meeting,0 days 00:17:00
100,2016-02-12 15:33:00,2016-02-12 16:06:00,Business,Morrisville,Cary,11.5,Customer Visit,0 days 00:33:00
101,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Morrisville,8.9,Meeting,0 days 00:19:19.571428571
102,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,East Elmhurst,Jackson Heights,2.7,Missing_val,0 days 00:19:19.571428571
103,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Jackson Heights,East Elmhurst,1.8,Missing_val,0 days 00:19:19.571428571
104,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,East Elmhurst,New York,8.1,Meeting,0 days 00:19:19.571428571
105,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Midtown,Midtown West,2.0,Meeting,0 days 00:19:19.571428571
106,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,New York,Long Island City,13.0,Meeting,0 days 00:19:19.571428571
107,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Long Island City,Jamaica,13.9,Meeting,0 days 00:19:19.571428571
108,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Katunayaka,Unknown Location,43.7,Customer Visit,0 days 00:19:19.571428571
109,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Colombo,14.1,Missing_val,0 days 00:19:19.571428571
110,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Colombo,Colombo,2.6,Missing_val,0 days 00:19:19.571428571
111,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Colombo,Colombo,4.5,Missing_val,0 days 00:19:19.571428571
112,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Colombo,Colombo,1.7,Missing_val,0 days 00:19:19.571428571
113,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Colombo,Colombo,1.8,Temporary Site,0 days 00:19:19.571428571
114,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Colombo,Colombo,6.0,Missing_val,0 days 00:19:19.571428571
115,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Colombo,Nugegoda,1.1,Meal/Entertain,0 days 00:19:19.571428571
116,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies,0 days 00:19:19.571428571
117,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Colombo,14.7,Temporary Site,0 days 00:19:19.571428571
118,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Colombo,Colombo,1.7,Meal/Entertain,0 days 00:19:19.571428571
119,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Colombo,Katunayaka,21.4,Temporary Site,0 days 00:19:19.571428571
120,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,0 days 00:19:19.571428571
121,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Unknown Location,23.5,Temporary Site,0 days 00:19:19.571428571
122,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Islamabad,12.7,Temporary Site,0 days 00:19:19.571428571
123,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Islamabad,Unknown Location,6.0,Temporary Site,0 days 00:19:19.571428571
124,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Islamabad,5.2,Customer Visit,0 days 00:19:19.571428571
125,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Islamabad,Unknown Location,10.0,Meeting,0 days 00:19:19.571428571
126,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Unknown Location,18.3,Meeting,0 days 00:19:19.571428571
127,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Unknown Location,11.2,Meeting,0 days 00:19:19.571428571
128,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Islamabad,7.6,Meeting,0 days 00:19:19.571428571
129,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Islamabad,Islamabad,1.5,Missing_val,0 days 00:19:19.571428571
130,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Islamabad,Islamabad,1.0,Missing_val,0 days 00:19:19.571428571
131,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Islamabad,Unknown Location,7.3,Temporary Site,0 days 00:19:19.571428571
132,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Islamabad,3.5,Missing_val,0 days 00:19:19.571428571
133,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Islamabad,Islamabad,4.2,Missing_val,0 days 00:19:19.571428571
134,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Islamabad,Unknown Location,13.6,Missing_val,0 days 00:19:19.571428571
135,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Unknown Location,Unknown Location,2.5,Missing_val,0 days 00:19:19.571428571
136,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Unknown Location,Islamabad,14.4,Missing_val,0 days 00:19:19.571428571
137,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Islamabad,Islamabad,3.0,Missing_val,0 days 00:19:19.571428571
138,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Islamabad,Islamabad,1.5,Missing_val,0 days 00:19:19.571428571
139,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Islamabad,R?walpindi,18.4,Missing_val,0 days 00:19:19.571428571
140,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,R?walpindi,R?walpindi,23.1,Meeting,0 days 00:19:19.571428571
141,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,R?walpindi,Unknown Location,16.5,Missing_val,0 days 00:19:19.571428571
142,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies,0 days 00:19:19.571428571
143,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies,0 days 00:19:19.571428571
144,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Islamabad,14.5,Missing_val,0 days 00:19:19.571428571
145,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Islamabad,2.4,Errand/Supplies,0 days 00:19:19.571428571
146,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Islamabad,Islamabad,4.6,Errand/Supplies,0 days 00:19:19.571428571
147,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Islamabad,Unknown Location,8.8,Meal/Entertain,0 days 00:19:19.571428571
148,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Unknown Location,8.3,Temporary Site,0 days 00:19:19.571428571
149,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Unknown Location,22.7,Temporary Site,0 days 00:19:19.571428571
150,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Islamabad,13.0,Temporary Site,0 days 00:19:19.571428571
151,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site,0 days 00:19:19.571428571
152,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain,0 days 00:19:19.571428571
153,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,Unknown Location,9.7,Missing_val,0 days 00:19:19.571428571
154,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Unknown Location,R?walpindi,20.0,Meeting,0 days 00:19:19.571428571
155,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Morrisville,Cary,8.1,Customer Visit,0 days 00:19:19.571428571
156,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Whitebridge,Preston,1.5,Missing_val,0 days 00:19:19.571428571
157,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Preston,Whitebridge,1.7,Errand/Supplies,0 days 00:19:19.571428571
158,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies,0 days 00:19:19.571428571
159,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies,0 days 00:19:19.571428571
160,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Whitebridge,Tanglewood,6.0,Meal/Entertain,0 days 00:19:19.571428571
161,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain,0 days 00:19:19.571428571
162,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Whitebridge,Westpark Place,6.3,Missing_val,0 days 00:19:19.571428571
163,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Westpark Place,Whitebridge,1.7,Missing_val,0 days 00:19:19.571428571
164,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Durham,10.6,Meeting,0 days 00:19:19.571428571
165,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Durham,Cary,9.9,Meeting,0 days 00:19:19.571428571
166,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Whitebridge,Westpark Place,1.9,Missing_val,0 days 00:19:19.571428571
167,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Westpark Place,Hazelwood,4.2,Missing_val,0 days 00:19:19.571428571
168,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Hazelwood,Whitebridge,2.0,Missing_val,0 days 00:19:19.571428571
169,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Whitebridge,Waverly Place,7.7,Meeting,0 days 00:19:19.571428571
170,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Waverly Place,Whitebridge,6.8,Meeting,0 days 00:19:19.571428571
171,2025-01-01 00:00:00,2025-01-01 01:00:00,Personal,Whitebridge,Westpark Place,2.1,Missing_val,0 days 00:19:19.571428571
172,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Apex,3.8,Meeting,0 days 00:19:19.571428571
173,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Apex,Cary,5.6,Meeting,0 days 00:19:19.571428571
174,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Whitebridge,Hazelwood,2.6,Missing_val,0 days 00:19:19.571428571
175,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Hazelwood,Whitebridge,6.6,Customer Visit,0 days 00:19:19.571428571
176,2016-03-01 18:47:00,2016-03-01 19:10:00,Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain,0 days 00:23:00
177,2016-03-01 21:27:00,2016-03-01 21:45:00,Business,Wayne Ridge,Whitebridge,8.0,Meeting,0 days 00:18:00
178,2016-03-03 09:45:00,2016-03-03 09:52:00,Personal,Whitebridge,Westpark Place,2.2,Missing_val,0 days 00:07:00
179,2016-03-03 11:04:00,2016-03-03 11:10:00,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,0 days 00:06:00
180,2016-03-03 14:44:00,2016-03-03 14:58:00,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,0 days 00:14:00
181,2016-03-03 15:27:00,2016-03-03 15:48:00,Business,Cary,Raleigh,7.6,Customer Visit,0 days 00:21:00
182,2016-03-03 16:02:00,2016-03-03 16:42:00,Business,Raleigh,Cary,17.3,Meeting,0 days 00:40:00
183,2016-03-04 07:47:00,2016-03-04 08:06:00,Business,Cary,Durham,9.9,Meeting,0 days 00:19:00
184,2016-03-04 09:46:00,2016-03-04 10:03:00,Business,Durham,Cary,9.9,Customer Visit,0 days 00:17:00
185,2016-03-04 11:46:00,2016-03-04 12:06:00,Business,Cary,Durham,10.4,Meeting,0 days 00:20:00
186,2016-03-04 13:03:00,2016-03-04 13:25:00,Business,Durham,Cary,10.9,Meeting,0 days 00:22:00
187,2016-03-04 13:40:00,2016-03-04 14:09:00,Business,Cary,Raleigh,15.7,Customer Visit,0 days 00:29:00
188,2016-03-04 15:56:00,2016-03-04 16:08:00,Business,Raleigh,Raleigh,4.9,Meal/Entertain,0 days 00:12:00
189,2016-03-04 16:16:00,2016-03-04 16:22:00,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies,0 days 00:06:00
190,2016-03-04 16:43:00,2016-03-04 17:12:00,Business,Raleigh,Cary,13.5,Meeting,0 days 00:29:00
191,2016-03-04 19:02:00,2016-03-04 19:08:00,Business,Cary,Morrisville,1.9,Temporary Site,0 days 00:06:00
192,2016-03-04 19:16:00,2016-03-04 19:25:00,Business,Morrisville,Cary,2.0,Meal/Entertain,0 days 00:09:00
193,2016-03-05 11:44:00,2016-03-05 11:59:00,Business,Cary,Morrisville,6.5,Meal/Entertain,0 days 00:15:00
194,2016-03-05 12:57:00,2016-03-05 13:12:00,Personal,Weston,Weston,4.2,Missing_val,0 days 00:15:00
195,2016-03-05 14:08:00,2016-03-05 14:18:00,Personal,Morrisville,Cary,3.5,Missing_val,0 days 00:10:00
196,2016-03-05 14:39:00,2016-03-05 15:01:00,Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain,0 days 00:22:00
197,2016-03-05 16:52:00,2016-03-05 17:13:00,Business,Cary,Morrisville,7.8,Meal/Entertain,0 days 00:21:00
198,2016-03-05 17:23:00,2016-03-05 17:34:00,Business,Morrisville,Cary,3.9,Meal/Entertain,0 days 00:11:00
199,2016-03-07 09:10:00,2016-03-07 09:20:00,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies,0 days 00:10:00
200,2016-03-07 09:23:00,2016-03-07 09:47:00,Business,Cary,Raleigh,12.4,Customer Visit,0 days 00:24:00
201,2016-03-07 12:10:00,2016-03-07 12:26:00,Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit,0 days 00:16:00
202,2016-03-07 13:57:00,2016-03-07 14:18:00,Business,Meredith Townes,Leesville Hollow,9.4,Meeting,0 days 00:21:00
203,2016-03-07 15:19:00,2016-03-07 15:45:00,Business,Raleigh,Cary,11.9,Between Offices,0 days 00:26:00
204,2016-03-08 14:38:00,2016-03-08 14:55:00,Business,Whitebridge,Waverly Place,7.2,Between Offices,0 days 00:17:00
205,2016-03-08 15:35:00,2016-03-08 16:00:00,Business,Waverly Place,Whitebridge,7.6,Meal/Entertain,0 days 00:25:00
206,2016-03-08 16:13:00,2016-03-08 16:25:00,Personal,Whitebridge,Whitebridge,1.6,Missing_val,0 days 00:12:00
207,2016-03-10 03:36:00,2016-03-10 03:53:00,Business,Cary,Morrisville,8.4,Meeting,0 days 00:17:00
208,2016-03-10 10:08:00,2016-03-10 10:37:00,Business,East Austin,West University,12.8,Meeting,0 days 00:29:00
209,2016-03-10 14:39:00,2016-03-10 14:55:00,Business,West University,South Congress,2.3,Missing_val,0 days 00:16:00
